team,mids,backs,fronts
1,2,2,1
2,1,2,2
3,2,1,2
4,2,2,1
5,2,2,1
6,2,2,1
7,2,2,1
8,2,2,1
9,3,1,1
10,1,1,3
11,1,2,2
12,2,1,2
13,3,1,1
14,0,3,2
15,1,2,2
16,1,2,2
17,3,2,0
18,1,2,2
19,2,2,1
20,0,2,3
21,1,3,1
22,2,1,2
23,3,1,1
24,1,2,2
25,0,2,3
26,2,1,2
27,1,2,2
28,1,2,2
29,2,2,1
30,3,2,0
31,2,2,1
32,2,2,1
33,1,1,3
34,1,3,1
35,3,1,1
36,2,1,2
37,1,3,1
38,1,2,2
39,1,2,2
40,2,1,2
41,1,2,2
42,1,2,2
43,3,2,0
44,2,1,2
45,2,2,1
46,0,3,2
47,1,2,2
48,0,2,3
49,0,4,1
50,1,2,2
51,1,2,2
52,1,2,2
53,1,2,2
54,2,2,1
55,0,2,3
56,2,1,2
57,1,2,2
58,3,2,0
59,2,2,1
60,2,2,1
61,2,2,1
62,0,2,3
63,2,1,2
64,2,2,1
65,3,1,1
66,0,2,3
67,2,2,1
68,2,2,1
69,2,2,1
70,2,3,0
71,1,1,3
72,1,2,2
73,2,2,1
74,1,3,1
75,2,2,1
76,1,1,3
77,1,3,1
78,0,2,3
79,3,1,1
80,0,2,3
81,2,2,1
82,0,1,4
83,2,2,1
84,4,0,1
85,3,1,1
86,1,1,3
87,0,2,3
88,2,2,1
89,2,2,1
90,2,1,2
91,2,2,1
92,1,2,2
93,2,2,1
94,1,2,2
95,1,2,2
96,2,2,1
97,3,0,2
98,2,1,2
